X,Y,L_m_Upstream,Max_Vel,Min_Vel,Mean_Vel,StreamNumber
437124.94766718,3433069.75942367,262820.809333125,0.164819507211475,0.0119394509189949,0.130690549593015,52
336024.94766718,3494479.75942367,92159.9220103399,0.164819507211475,0.00371938740074887,0.145195990794848,17
400524.94766718,3487789.75942367,173201.841867062,0.164819507211475,0.00618233690885127,0.138382166463679,82
323214.94766718,3493609.75942367,67429.7163956096,0.164819507211475,0.00372670973271174,0.118519246328109,13
356124.94766718,3549289.75942367,161815.668709759,0.164819507211475,0.00888674688373114,0.113097391721939,88
427374.94766718,3441439.75942367,243183.324497778,0.164819507211475,0.0101461447187861,0.13248309580336,48
463314.94766718,3442669.75942367,288016.519267854,0.164819507211475,0.0937510751244446,0.129595436014501,56
406464.94766718,3474949.75942367,191971.458736766,0.164819507211475,0.00439662348922884,0.137550933686281,71
436944.94766718,3429799.75942367,266612.718421714,0.164819507211475,0.00460659822860983,0.129613581670459,53
409944.94766718,3436969.75942367,245025.233586368,0.164819507211475,0.0161071639993947,0.129806908298398,45
433584.94766718,3438919.75942367,250643.244405512,0.164819507211475,0.00858641975343389,0.133017381034731,51
311844.94766718,3511219.75942367,55307.5216000221,0.164819507211475,0.00390372177507257,0.151320903870082,3
443664.94766718,3435139.75942367,262382.35262245,0.164819507211475,0.00522629284504057,0.131966965552008,54
415914.94766718,3439309.75942367,239881.709781702,0.164819507211475,0.00906353166910804,0.13158868175568,46
404514.94766718,3476209.75942367,187895.874324493,0.164819507211475,0.00461089700319332,0.138839300035412,73
345264.94766718,3472159.75942367,150036.569158337,0.164819507211475,0.00903512529669032,0.125280070370473,23
460734.94766718,3441049.75942367,283975.198924295,0.164819507211475,0.0123939456424054,0.129947432794279,57
428304.94766718,3452629.75942367,240140.166492376,0.164819507211475,0.00587532209746874,0.133267400914381,65
373944.94766718,3473179.75942367,148084.437123981,0.164819507211475,0.00614659888050848,0.138622788632882,34
332634.94766718,3540709.75942367,142712.305089624,0.164819507211475,0.00379985049762594,0.124120909290925,95
402354.94766718,3477889.75942367,180553.822382403,0.164819507211475,0.004360149097445,0.140414140158019,76
402774.94766718,3481219.75942367,180288.086451115,0.164819507211475,0.00389240419193241,0.139425224204809,78
309204.94766718,3513319.75942367,36937.8333035729,0.164819507211475,0.00383382556466684,0.130852029800772,2
337524.94766718,3493009.75942367,105285.426330344,0.164819507211475,0.0039418045403027,0.144255839146216,20
458544.94766718,3439729.75942367,281096.599360123,0.164819507211475,0.0107710088620847,0.130198928662974,58
401574.94766718,3492619.75942367,178097.72065185,0.164819507211475,0.00524164318064927,0.130322103364134,84
390984.94766718,3499249.75942367,172743.679528903,0.164819507211475,0.00451742533145332,0.133733346563321,85
377844.94766718,3471739.75942367,157022.885169139,0.164819507211475,0.00758290485040459,0.135169527083663,37
422634.94766718,3460759.75942367,228222.307192248,0.164819507211475,0.0100352041803549,0.133251874337636,66
333384.94766718,3538729.75942367,140313.188207169,0.164819507211475,0.00371694135845949,0.125781359026962,96
354924.94766718,3469729.75942367,138646.283451338,0.164819507211475,0.00370344064780189,0.134029090987527,24
376104.94766718,3473059.75942367,150987.523702632,0.164819507211475,0.00569233191231303,0.137752699966039,35
437934.94766718,3444259.75942367,254127.874273489,0.164819507211475,0.00616584366073954,0.132209676652488,63
443544.94766718,3440629.75942367,263202.646994966,0.164819507211475,0.012549485636466,0.131372573558719,60
330594.94766718,3544789.75942367,151643.473914169,0.164819507211475,0.00381162221863042,0.121579989549005,94
320724.94766718,3557719.75942367,175744.562646448,0.164819507211475,0.00374853628445686,0.113879519670557,91
330024.94766718,3576499.75942367,185713.305064122,0.164819507211475,0.00474594534985987,0.110950690462534,90
461574.94766718,3440389.75942367,284864.90455178,0.164819507211475,0.00717475638455749,0.129896794043486,55
406704.94766718,3488209.75942367,181963.822382403,0.164819507211475,0.0160498810201272,0.127893179948975,83
437814.94766718,3445579.75942367,255364.270376557,0.164819507211475,0.00762598915357087,0.131684813942629,62
437364.94766718,3445759.75942367,255549.417562815,0.164819507211475,0.00541377285867449,0.131595160555423,61
369924.94766718,3470449.75942367,152168.549673677,0.164819507211475,0.00410614808979443,0.135361934422384,31
